City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
3,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
4,Puerto Ayora,EC,72.68,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Maragogi,BR,77.47,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
9,Ariquemes,BR,73.67,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
10,Carnarvon,AU,70.29,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
11,Atuona,PF,77.92,light rain,-9.8,-139.0333,Villa Enata
15,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
16,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
22,Manaure,CO,83.84,clear sky,11.7751,-72.4445,Hotel Palaaima
23,Emilio Carranza,MX,86.02,clear sky,19.9711,-96.6114,Hotel Carranza Inn
24,Fomboni,KM,79.32,overcast clouds,-12.28,43.7425,Auberge les abou
27,Nuevo Progreso,MX,85.53,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
29,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
31,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
32,Tessalit,ML,84.24,scattered clouds,20.1986,1.0114,
35,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
37,Hithadhoo,MV,83.77,overcast clouds,-0.6,73.0833,Scoop Guest House
42,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
43,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
44,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
45,Albany,US,70.21,overcast clouds,42.6001,-73.9662,
47,Chitapur,IN,79.18,clear sky,17.1167,77.0833,B M CHINAMALLI.
48,Portland,US,75.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
50,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
55,Longhua,CN,73.33,overcast clouds,23.6137,114.1919,Huadu Hotel
66,Vao,NC,75.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
68,Kota Belud,MY,80.94,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
70,Bengkulu,ID,76.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
73,Carora,VE,81.45,clear sky,10.1755,-70.0827,Hotel Irpinia
77,Arraial Do Cabo,BR,71.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
78,Kokopo,PG,83.61,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
84,Hattiesburg,US,84.69,scattered clouds,31.3271,-89.2903,Quality Inn & Suites
89,Tongliao,CN,76.66,broken clouds,43.6125,122.2653,Meirujia Hotel
94,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
96,Fare,PF,80.94,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
101,Le Port,RE,71.56,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
104,Tabou,CI,75.33,overcast clouds,4.423,-7.3528,hotêl doufoulougou
108,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
111,Touros,BR,75.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
114,Sao Joao Da Barra,BR,70.05,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
118,Korla,CN,76.95,overcast clouds,41.7597,86.1469,Gulisitan Hotel
120,Saint-Paul,RE,71.69,scattered clouds,-21.0096,55.2707,Boucan Canot
121,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
122,Belmonte,BR,72.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
123,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
125,Kampot,KH,80.65,light rain,10.6167,104.1833,Two Moons Hotel
126,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
128,Naliya,IN,83.16,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
131,Mecca,SA,83.82,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
134,Monrovia,LR,77.36,moderate rain,6.3005,-10.7969,Sunset Inn
137,Kavieng,PG,84.79,few clouds,-2.5744,150.7967,Nusa Island Retreat
143,Modakeke,NG,71.78,overcast clouds,7.3833,4.2667,
146,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
149,Umm Lajj,SA,77.2,clear sky,25.0213,37.2685,Moon light Furnished Units
151,Neiafu,TO,80.67,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
153,Chiang Kham,TH,73.78,overcast clouds,19.5233,100.3,Rico Resort
156,Mitsamiouli,KM,78.42,light rain,-11.3847,43.2844,Foyer ADM
157,Necocli,CO,78.44,few clouds,8.4234,-76.786,Hotel Boutique El Turista
158,Cortez,US,70.93,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
163,Eyl,SO,81.27,overcast clouds,7.9803,49.8164,Amiin Hotel
164,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Marsh Harbour,BS,78.33,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
