City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,2022-05-22 05:36:19,-30.1811,-50.2056,55.27,81,97,4.07
1,Hithadhoo,MV,2022-05-22 05:28:08,-0.6,73.0833,83.46,69,100,11.03
2,Norman Wells,CA,2022-05-22 05:35:11,65.282,-126.8329,41.04,93,100,3.44
3,Hofn,IS,2022-05-22 05:36:19,64.2539,-15.2082,46.06,86,100,16.53
4,Marzuq,YE,2022-05-22 05:36:20,14.4,46.4667,89.6,12,44,3.96
5,Puerto Ayora,EC,2022-05-22 05:28:05,-0.7393,-90.3518,71.08,89,56,5.82
6,New Norfolk,AU,2022-05-22 05:36:20,-42.7826,147.0587,55.92,71,84,1.32
7,Arraial Do Cabo,BR,2022-05-22 05:35:29,-22.9661,-42.0278,68.13,75,11,6.31
8,San Patricio,US,2022-05-22 05:36:20,28.017,-97.5169,82.29,93,43,5.99
9,Mataura,NZ,2022-05-22 05:29:14,-46.1927,168.8643,42.35,82,68,8.08
10,Georgiyevka,KZ,2022-05-22 05:36:21,43.0369,74.7114,59.04,82,75,4.47
11,Victoria,HK,2022-05-22 05:33:53,22.2855,114.1577,82.96,81,94,15.99
12,Hermanus,ZA,2022-05-22 05:36:21,-34.4187,19.2345,56.34,77,30,6.89
13,Kapaa,US,2022-05-22 05:28:05,22.0752,-159.319,78.78,91,100,11.5
14,Albany,US,2022-05-22 05:29:13,42.6001,-73.9662,75.52,85,61,1.01
15,Kudahuvadhoo,MV,2022-05-22 05:36:21,2.6708,72.8944,83.3,76,91,13.2
16,Nioro,GM,2022-05-22 05:36:22,13.35,-15.75,72.66,75,91,5.84
17,Souillac,MU,2022-05-22 05:36:22,-20.5167,57.5167,77.38,69,75,9.22
18,Tiarei,PF,2022-05-22 05:36:22,-17.5333,-149.3333,80.01,72,18,11.03
19,Parakou,BJ,2022-05-22 05:36:22,9.3372,2.6303,71.96,93,96,6.17
20,Narsaq,GL,2022-05-22 05:36:23,60.9167,-46.05,37.62,81,100,7.02
21,Ushuaia,AR,2022-05-22 05:28:09,-54.8,-68.3,37.06,81,0,6.91
22,Hobart,AU,2022-05-22 05:29:13,-42.8794,147.3294,56.26,74,100,9.22
23,Castro,BR,2022-05-22 05:28:08,-24.7911,-50.0119,43.21,82,1,2.86
24,Avarua,CK,2022-05-22 05:35:17,-21.2078,-159.775,75.25,88,75,5.75
25,Slonim,BY,2022-05-22 05:36:23,53.0867,25.3219,47.3,94,100,12.37
26,Yellowknife,CA,2022-05-22 05:25:56,62.456,-114.3525,41.56,100,75,11.5
27,Umm Lajj,SA,2022-05-22 05:36:23,25.0213,37.2685,82.22,66,0,15.17
28,Bluff,NZ,2022-05-22 05:29:18,-46.6,168.3333,48.67,65,69,21.39
29,Broken Hill,AU,2022-05-22 05:36:24,-31.95,141.4333,64.76,54,24,12.06
30,Progreso,MX,2022-05-22 05:36:24,21.2833,-89.6667,84.31,86,72,15.03
31,Cape Town,ZA,2022-05-22 05:28:09,-33.9258,18.4232,56.12,90,0,5.75
32,Nouadhibou,MR,2022-05-22 05:36:24,20.931,-17.0347,64.38,94,75,17.27
33,Lorengau,PG,2022-05-22 05:36:25,-2.0226,147.2712,85.8,67,96,9.69
34,Aksu,CN,2022-05-22 05:36:25,41.1231,80.2644,85.06,16,100,13.29
35,Dikson,RU,2022-05-22 05:35:17,73.5069,80.5464,28.69,86,73,12.57
36,Dickinson,US,2022-05-22 05:36:25,29.4608,-95.0513,83.14,88,75,11.5
37,Vaini,TO,2022-05-22 05:28:12,-21.2,-175.2,77.16,88,75,5.75
38,Frontera,MX,2022-05-22 05:36:25,26.9333,-101.45,89.33,38,0,1.99
